Garb Rt,Geometry (Garbage Routes.geojson),Latitude (generated),Longitude (generated)
PW41,MultiPolygon,30.35876415,-97.66989257
PW40,MultiPolygon,30.36325543,-97.67499719
PW32,MultiPolygon,30.37145619,-97.64161361
PW31,MultiPolygon,30.38422137,-97.68381677
PW30,MultiPolygon,30.37007561,-97.66284968
PW22,MultiPolygon,30.20325809,-97.73279568
PW21,MultiPolygon,30.39644282,-97.69497543
PW20,MultiPolygon,30.39597405,-97.69955125
PW12,MultiPolygon,30.39818178,-97.66796929
PW11,MultiPolygon,30.38997468,-97.66960129
PW10,MultiPolygon,30.43033551,-97.6726405
PT42,MultiPolygon,30.19830731,-97.73912406
PT41,MultiPolygon,30.19699304,-97.7453337
PT40,MultiPolygon,30.19927324,-97.7503469
PT31,MultiPolygon,30.23651855,-97.71946995
PT30,MultiPolygon,30.22501638,-97.74376631
PT21,MultiPolygon,30.23827842,-97.74573616
PT20,MultiPolygon,30.24757604,-97.74469434
PT11,MultiPolygon,30.2000353,-97.75515988
PT10,MultiPolygon,30.20840788,-97.76612667
PM42,MultiPolygon,30.15929573,-97.7452396
PM41,MultiPolygon,30.17140911,-97.7567845
PM40,MultiPolygon,30.17693276,-97.76511697
PM32,MultiPolygon,30.18971342,-97.78495929
PM31,MultiPolygon,30.17656273,-97.79142121
PM30,MultiPolygon,30.18135791,-97.76905806
PM22,MultiPolygon,30.19407128,-97.79771862
PM21,MultiPolygon,30.17973622,-97.80097402
PM20,MultiPolygon,30.16583273,-97.81721603
PM12,MultiPolygon,30.18469376,-97.80489725
PM11,MultiPolygon,30.16172781,-97.8281791
PM10,MultiPolygon,30.1801728,-97.82671039
PH42,MultiPolygon,30.2168308,-97.64917317
PH41,MultiPolygon,30.23372156,-97.69569684
PH40,MultiPolygon,30.23089232,-97.69903293
PH32,MultiPolygon,30.3532138,-97.70025266
PH31,MultiPolygon,30.36650486,-97.68880114
PH30,MultiPolygon,30.33648218,-97.67541549
PH21,MultiPolygon,30.30017843,-97.61786835
PH20,MultiPolygon,30.3181349,-97.64383011
PH12,MultiPolygon,30.37916313,-97.68963152
PH11,MultiPolygon,30.37363095,-97.70096822
PH10,MultiPolygon,30.38486659,-97.70231424
PF41,MultiPolygon,30.30411963,-97.74318528
PF40,MultiPolygon,30.27163951,-97.69794778
PF33,MultiPolygon,30.27779443,-97.75875477
PF32,MultiPolygon,30.27318917,-97.7419625
PF30,MultiPolygon,30.30947366,-97.71875287
PF22,MultiPolygon,30.26711849,-97.7165747
PF21,MultiPolygon,30.29100564,-97.71817427
PF20,MultiPolygon,30.29836047,-97.70450173
PF13,MultiPolygon,30.29047854,-97.74626734
PF11,MultiPolygon,30.29309202,-97.73190874
PF10,MultiPolygon,30.3061255,-97.72857752
PAW85,MultiPolygon,30.42806171,-97.78447864
PAW84,MultiPolygon,30.44263863,-97.80819617
PAW83,MultiPolygon,30.4237094,-97.8030476
PAW82,MultiPolygon,30.41483996,-97.83950513
PAW81,MultiPolygon,30.43355648,-97.79959168
PAW80,MultiPolygon,30.44804995,-97.82297965
PAW74,MultiPolygon,30.35105069,-97.59998154
PAW73,MultiPolygon,30.18706204,-97.66746194
PAW72,MultiPolygon,30.1711068,-97.61640476
PAW71,MultiPolygon,30.40615276,-97.65031714
PAW70,MultiPolygon,30.35554618,-97.6171887
PAW65,MultiPolygon,30.44352137,-97.75198274
PAW64,MultiPolygon,30.42696644,-97.7723293
PAW63,MultiPolygon,30.4188949,-97.77473104
PAW62,MultiPolygon,30.39555977,-97.77136794
PAW61,MultiPolygon,30.40912919,-97.76057108
PAW60,MultiPolygon,30.41910969,-97.75813539
PAW55,MultiPolygon,30.40751645,-97.7137017
PAW54,MultiPolygon,30.41931046,-97.71183151
PAW53,MultiPolygon,30.43874905,-97.70288814
PAW52,MultiPolygon,30.40440069,-97.73786014
PAW51,MultiPolygon,30.42658368,-97.73320752
PAW50,MultiPolygon,30.42920044,-97.68929678
PAW06,MultiPolygon,30.45133449,-97.77144108
PAW05,MultiPolygon,30.50271848,-97.7718328
PAW04,MultiPolygon,30.49571302,-97.76472287
PAW03,MultiPolygon,30.5051126,-97.75224348
PAW02,MultiPolygon,30.49267722,-97.79763811
PAW01,MultiPolygon,30.46362426,-97.78686508
PAT84,MultiPolygon,30.23077475,-97.80882919
PAT83,MultiPolygon,30.24821522,-97.78292789
PAT82,MultiPolygon,30.25383273,-97.83667462
PAT81,MultiPolygon,30.27374759,-97.81606688
PAT80,MultiPolygon,30.27066998,-97.79613228
PAT74,MultiPolygon,30.21077517,-97.78672014
PAT73,MultiPolygon,30.20675839,-97.778586
PAT72,MultiPolygon,30.20184734,-97.78538485
PAT71,MultiPolygon,30.20666075,-97.8004323
PAT70,MultiPolygon,30.21499462,-97.8167586
PAT63,MultiPolygon,30.25458699,-97.77619518
PAT62,MultiPolygon,30.26075019,-97.76758447
PAT61,MultiPolygon,30.24434593,-97.75902837
PAT60,MultiPolygon,30.25332679,-97.759564
PAT54,MultiPolygon,30.2186777,-97.80402951
PAT53,MultiPolygon,30.22787445,-97.78778408
PAT52,MultiPolygon,30.22102123,-97.77911907
PAT51,MultiPolygon,30.23354011,-97.76606377
PAT50,MultiPolygon,30.2388032,-97.77598557
PAT04,MultiPolygon,30.24555427,-97.85183324
PAT03,MultiPolygon,30.23028355,-97.84844131
PAT02,MultiPolygon,30.25300656,-97.89586515
PAT01,MultiPolygon,30.23826459,-97.89292925
PAM85,MultiPolygon,30.20023071,-97.81957827
PAM84,MultiPolygon,30.18956227,-97.84250948
PAM83,MultiPolygon,30.19158215,-97.82539369
PAM82,MultiPolygon,30.19384437,-97.81726644
PAM81,MultiPolygon,30.20583871,-97.83321089
PAM80,MultiPolygon,30.20559723,-97.84278345
PAM75,MultiPolygon,30.14170739,-97.8035931
PAM74,MultiPolygon,30.15237199,-97.74331017
PAM73,MultiPolygon,30.1404979,-97.78215054
PAM72,MultiPolygon,30.14676325,-97.77711838
PAM71,MultiPolygon,30.16333659,-97.72430554
PAM70,MultiPolygon,30.19204945,-97.75956711
PAM65,MultiPolygon,30.22142015,-97.86581992
PAM64,MultiPolygon,30.21524872,-97.87669303
PAM63,MultiPolygon,30.22726818,-97.87543076
PAM62,MultiPolygon,30.20968466,-97.84809311
PAM61,MultiPolygon,30.19935845,-97.85528228
PAM60,MultiPolygon,30.21752904,-97.85100554
PAM54,MultiPolygon,30.16423859,-97.83827474
PAM53,MultiPolygon,30.17505459,-97.8384624
PAM52,MultiPolygon,30.18407939,-97.8333554
PAM51,MultiPolygon,30.15132371,-97.83849915
PAM50,MultiPolygon,30.14834064,-97.85634695
PAM06,MultiPolygon,30.17641761,-97.90996507
PAM05,MultiPolygon,30.21160525,-97.88555881
PAM04,MultiPolygon,30.19606697,-97.87355782
PAM03,MultiPolygon,30.1796546,-97.88840938
PAM02,MultiPolygon,30.19741055,-97.88888296
PAM01,MultiPolygon,30.18106669,-97.92387825
PAH84,MultiPolygon,30.36727167,-97.71322032
PAH83,MultiPolygon,30.37932368,-97.71415011
PAH82,MultiPolygon,30.36503493,-97.72963177
PAH81,MultiPolygon,30.37262491,-97.74753327
PAH80,MultiPolygon,30.3812887,-97.75629525
PAH75,MultiPolygon,30.33051573,-97.7185535
PAH74,MultiPolygon,30.31632456,-97.6895774
PAH73,MultiPolygon,30.32942332,-97.69703371
PAH72,MultiPolygon,30.31219648,-97.70055656
PAH71,MultiPolygon,30.33990245,-97.7088332
