ZIPCODE,TOTAL_POPULATION,TOTAL_HOUSEHOLDS,MEDIAN_HOUSEHOLD_INCOME,MEAN_HOUSEHOLD_INCOME,TOTAL_HOUSING_UNITS
78701,7875,4855,112201,173289,6576
78702,22876,8937,54053,73919,9839
78703,20788,9723,98553,166396,11047
78704,47158,23213,66262,91223,25815
78705,33075,8370,15309,41357,10336
78721,12447,4197,41611,52873,4632
78722,7254,3111,69267,95443,3415
78723,33170,12518,49606,71897,13777
78724,24833,6360,45158,55252,6754
78725,7517,2544,62172,66225,2598
78726,14610,5554,88322,122559,5998
78727,28999,12937,74458,88800,14029
78728,21245,10029,55603,71409,10626
78729,29434,12622,73047,86587,13636
78730,8933,3678,108750,183174,4019
78731,27447,12556,89099,140009,13476
78732,17762,5689,142612,193848,6114
78733,8754,2920,136563,214080,3033
78734,18722,7392,107827,142453,8633
78735,17919,7193,102551,155092,8176
78736,8199,3023,107467,134565,3306
78737,15879,5305,127136,148042,5385
78738,15746,5964,123836,159347,6737
78739,20191,6367,147736,175189,6460
78741,52307,20758,39049,49856,23380
78742,517,218,33182,49511,252
78744,48432,14345,47073,56407,15236
78745,62220,25857,60567,72944,27367
78746,28268,10848,136138,217305,11922
78747,20954,6364,79500,84070,6654
78748,49142,18820,74176,86175,19577
78749,37453,15215,92313,107483,15727
78750,30758,11713,81061,119690,12472
78751,14949,7463,54129,79620,8632
78752,20302,7932,41486,58935,8720
78753,58693,19947,45983,61853,21287
78754,23858,8009,64114,84433,8451
78756,8377,4246,73578,107864,4642
78757,24059,10746,65709,93055,11454
78758,46618,19397,50018,62838,21064
78759,41847,20240,76749,104404,21798
78610,32692,11243,76623,90103,11585
78617,27900,6520,52819,69936,7244
78653,20822,6332,66752,75678,6891
78660,85450,28469,81693,94180,29569
