route,center_point,zip_code
PW41,POINT (-97.66989257 30.35876415),78754
PW40,POINT (-97.67499719 30.36325543),78753
PW32,POINT (-97.64161360999999 30.37145619),78754
PW31,POINT (-97.68381677000001 30.38422137),78753
PW30,POINT (-97.66284967999999 30.37007561),78754
PW22,POINT (-97.73279568 30.20325809),78744
PW21,POINT (-97.69497543 30.39644282),78758
PW20,POINT (-97.69955125 30.39597405),78758
PW12,POINT (-97.66796929 30.39818178),78753
PW11,POINT (-97.66960129 30.38997468),78753
PW10,POINT (-97.6726405 30.43033551),78728
PT42,POINT (-97.73912405999999 30.19830731),78744
PT41,POINT (-97.7453337 30.19699304),78744
PT40,POINT (-97.75034690000001 30.19927324),78744
PT31,POINT (-97.71946995 30.23651855),78741
PT30,POINT (-97.74376631 30.22501638),78741
PT21,POINT (-97.74573616000001 30.23827842),78704
PT20,POINT (-97.74469434 30.24757604),78704
PT11,POINT (-97.75515987999999 30.2000353),78744
PT10,POINT (-97.76612667000001 30.20840788),78745
PM42,POINT (-97.74523959999999 30.15929573),78747
PM41,POINT (-97.75678449999999 30.17140911),78744
PM40,POINT (-97.76511696999999 30.17693276),78744
PM32,POINT (-97.78495929 30.18971342),78745
PM31,POINT (-97.79142121 30.17656273),78748
PM30,POINT (-97.76905806000001 30.18135791),78744
PM22,POINT (-97.79771862 30.19407128),78745
PM21,POINT (-97.80097402 30.17973622),78748
PM20,POINT (-97.81721603 30.16583273),78748
PM12,POINT (-97.80489725 30.18469376),78748
PM11,POINT (-97.8281791 30.16172781),78748
PM10,POINT (-97.82671039 30.1801728),78748
PH42,POINT (-97.64917317 30.2168308),78725
PH41,POINT (-97.69569684 30.23372156),78741
PH40,POINT (-97.69903293 30.23089232),78741
PH32,POINT (-97.70025266 30.3532138),78753
PH31,POINT (-97.68880114 30.36650486),78753
PH30,POINT (-97.67541549000001 30.33648218),78754
PH21,POINT (-97.61786834999999 30.30017843),78724
PH20,POINT (-97.64383011 30.3181349),78724
PH12,POINT (-97.68963152000001 30.37916313),78758
PH11,POINT (-97.70096821999999 30.37363095),78758
PH10,POINT (-97.70231424000001 30.38486659),78758
PF41,POINT (-97.74318528000001 30.30411963),78705
PF40,POINT (-97.69794778000001 30.27163951),78702
PF33,POINT (-97.75875477 30.27779443),78703
PF32,POINT (-97.7419625 30.27318917),78701
PF30,POINT (-97.71875287 30.30947366),78751
PF22,POINT (-97.7165747 30.26711849),78702
PF21,POINT (-97.71817427000001 30.29100564),78722
PF20,POINT (-97.70450173 30.29836047),78723
PF13,POINT (-97.74626734 30.29047854),78705
PF11,POINT (-97.73190873999999 30.29309202),78705
PF10,POINT (-97.72857752 30.3061255),78751
PAW85,POINT (-97.78447864 30.42806171),78750
PAW84,POINT (-97.80819617 30.44263863),78750
PAW83,POINT (-97.80304759999999 30.4237094),78750
PAW82,POINT (-97.83950513000001 30.41483996),78726
PAW81,POINT (-97.79959168000001 30.43355648),78750
PAW80,POINT (-97.82297964999999 30.44804995),78726
PAW74,POINT (-97.59998154 30.35105069),78653
PAW73,POINT (-97.66746194 30.18706204),78719
PAW72,POINT (-97.61640475999999 30.1711068),78617
PAW71,POINT (-97.65031714 30.40615276),78753
PAW70,POINT (-97.6171887 30.35554618),78754
PAW65,POINT (-97.75198274 30.44352137),78729
PAW64,POINT (-97.7723293 30.42696644),78759
PAW63,POINT (-97.77473104000001 30.4188949),78759
PAW62,POINT (-97.77136794 30.39555977),78759
PAW61,POINT (-97.76057108000001 30.40912919),78759
PAW60,POINT (-97.75813539000001 30.41910969),78759
PAW55,POINT (-97.7137017 30.40751645),78758
PAW54,POINT (-97.71183151 30.41931046),78759
PAW53,POINT (-97.70288814 30.43874905),78727
PAW52,POINT (-97.73786014 30.40440069),78759
PAW51,POINT (-97.73320751999999 30.42658368),78727
PAW50,POINT (-97.68929678000001 30.42920044),78727
PAW06,POINT (-97.77144108 30.45133449),78729
PAW05,POINT (-97.7718328 30.50271848),78717
PAW04,POINT (-97.76472287 30.49571302),78717
PAW03,POINT (-97.75224348 30.5051126),78717
PAW02,POINT (-97.79763810999999 30.49267722),78717
PAW01,POINT (-97.78686508 30.46362426),78729
PAT84,POINT (-97.80882919 30.23077475),78745
PAT83,POINT (-97.78292789 30.24821522),78704
PAT82,POINT (-97.83667462 30.25383273),78735
PAT81,POINT (-97.81606687999999 30.27374759),78746
